2022-10-22 10:12:04 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.5.Final
2022-10-22 10:12:05 [main] INFO  c.m.demo.config.server.ConfigServer - No active profile set, falling back to default profiles: default
2022-10-22 10:12:06 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=2a519873-3bf9-3410-9240-bed5bf7485b8
2022-10-22 10:12:07 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2022-10-22 10:12:07 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2022-10-22 10:12:07 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2022-10-22 10:12:07 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2022-10-22 10:12:07 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-10-22 10:12:07 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2003 ms
2022-10-22 10:12:07 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2022-10-22 10:12:10 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/encrypt/**'], []
2022-10-22 10:12:10 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/decrypt/**'], []
2022-10-22 10:12:10 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@16d61071, org.springframework.security.web.context.SecurityContextPersistenceFilter@4bc21e34, org.springframework.security.web.header.HeaderWriterFilter@2739ecc0, org.springframework.security.web.csrf.CsrfFilter@6ffbf0ac, org.springframework.security.web.authentication.logout.LogoutFilter@1e194966, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@653e7b, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@708f7386, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@18692e80, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@64544ee4, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@bb6869a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7b2d58e6, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@779b4f9c, org.springframework.security.web.session.SessionManagementFilter@3d98729a, org.springframework.security.web.access.ExceptionTranslationFilter@573870cb, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@4e51eda7]
2022-10-22 10:12:11 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2022-10-22 10:12:11 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2022-10-22 10:12:11 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2022-10-22 10:12:11 [main] INFO  c.m.demo.config.server.ConfigServer - Started ConfigServer in 8.556 seconds (JVM running for 9.189)
2022-10-22 10:19:59 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-10-22 10:19:59 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-10-22 10:19:59 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 11 ms
2022-10-22 10:19:59 [http-nio-8888-exec-1] WARN  o.a.c.util.SessionIdGeneratorBase - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [215] milliseconds.
2022-10-22 10:20:01 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/C:/Users/dougl/AppData/Local/Temp/config-repo-5382956346782359156/config-client-twitter_to_kafka.yml
2022-10-22 10:20:01 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/C:/Users/dougl/AppData/Local/Temp/config-repo-5382956346782359156/config-client.yml
2022-10-22 10:35:07 [http-nio-8888-exec-3] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/C:/Users/dougl/AppData/Local/Temp/config-repo-5382956346782359156/config-client-twitter_to_kafka.yml
2022-10-22 10:35:07 [http-nio-8888-exec-3] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/C:/Users/dougl/AppData/Local/Temp/config-repo-5382956346782359156/config-client.yml
2022-10-22 10:55:16 [http-nio-8888-exec-6] INFO  o.s.c.c.s.e.EncryptionController - Encrypted data
